"rand_index","index","translation","reference_translation","accuracy"
223,202,"Zweitens, während das Umweltbewusstsein in jedermann'""s Leben gleichbleibend zu sein scheint, kann die eigene Umweltidentität beeinflusst werden, zum Beispiel durch Informationen bezüglich der Energiesparung.","Während ökologische Werte ein Leben lang mehr oder weniger unverändert bleiben, kann ökologische Selbstidentität beispielweise durch Informationen zu Energiesparmassnahmen beeinflusst werden.",""
224,315,"Die Europäische Kommission (EC) hat viel Effort in die Lösung dieses Problems gesteckt. Sie hat beispielsweise kürzlich die EU Energy Poverty Obervatory im Januar 2018 lanciert.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
225,317,"Energiearmut ist eines der Hauptprobleme im sozialen, technischen und legislativen Bereich in Europa zu dieser Zeit. Die Anzahl Menschen, die betroffen sind, wird von 50 bis 125 Millionen geschätzt.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
226,446,"Einer der Punkte der von der EC hervorgehoben wurde ist die Wichtigkeit des Lernens durch Erfahrung und von den besten Sachen die ausgeführt werden in verschiedenen Mitgliedsstaaten (MS).","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
227,74,"Der Einfluss von gesellschaftlichen Informationen auf das Verhalten wurde in verschiedenen Bereichen belegt.","Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.",""
228,417,"In diesem Projekt zeichnet das ECRI verantwortlich für die technische Schulung der HE","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
229,390,"In diesem Paper werden die ersten Ergebnisse dieser zwei Aufgaben präsentiert.","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
230,499,"Die Europäische Kommission (EK) hat grosse Anstrengungen unternommen, um dieses Problem zu lösen, was sich beispielsweise in der kürzlich von Statten gegangenen Einführung der EU Energiearmutsbeobachtung im Januar 2018 zeigt.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
231,478,"Diese Arbeit sammelt die ersten Resultate der obig erwähnten Aufgabenstellungen. ","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
232,322,"Die grösste Schwierigkeit, die sich bei der Durchführung dieser Analyse ergibt, ist, das","Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.",""
233,206,"Die Forschung zeigt, dass das Erzählen, wie die Handlungen einiger Personen zu anderen zu vergleichen sind, bringt diese Personen dazu, die Energie und den Wasserverbrauch, ihren Beitrag zu Wohlfahrtsorganisationen und ihr Einsparen zu verändern","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
234,421,"Vor diesem Hintergrund möchte das hier vor","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.",""
235,146,"Ein zweiter Mechanismus könnte deshalb sein, dass Informationen, die über HER vermittelt werden, die umweltbezogene Selbstidentität von Verbrauchern stärk","Ein zweiter Mechanismus könnte also sein, dass die im HER enthaltenen Informationen die ökologische Selbstidentität der Konsumentinnen und Konsumenten stärken.",""
236,418,"Energiearmut gehört zu den wichtigsten gesellscahftlichen, technischen und gesetzlichen Problemen aktuell in Europa, mit geschätzten 50 bis 125 Millionen Menschen, die betroffen sind.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
237,232,"Trotz des wachsenden Interesse in sozial vergleichenden Forschungen, bleiben einige Fragen offen.","Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.",""
238,238,"Speziell ist relativ wenig","Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.",""
239,275,"Der erste Teil dieser Arbeit fasst die Resultate einer statistischen Analyse zusammen, welche durchgeführt wurde, um di Definition von energieschwachen und energiestarken Konsumern zu verstehen (da eine europäische Definition nicht existiert).","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
240,439,"Der erste Teil der Arbeit fasst die Resultate zusammen, die mit einer statistischen Analyse durchegührt worden sind, um zu verstehen, wie man ""energiearme"" oder ""energieverletzliche"" Konsumenten definieren kann, da eine allgemeine Definition noch nicht existiert. ","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
241,95,"Der Einfluss von sozialen Aspekten auf das Verhalten wurde in einer Mehrzahl von Situationen gezeigt.","Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.",""
242,229,"Der Einfluss der Sozialen Informationen bezüglich des Verhaltens wurde in verschiedenen Orten demonstriert.","Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.",""
243,177,"Trotz eines grossen Interesses an vergleichender Sozialfors","Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.",""
244,35,"Ein zweites Ziel dieses Dokuments ist es mögliche Mechanismen zu testen, die das HER effektiv machen.","Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.",""
245,188,"Der Einfluss von sozialer Infromation auf Verhaten wurde in verschiedenen Umfeldern demonstriert.","Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.",""
246,298,"Das Hauptziel bei der Durchführung dieser Analyse ist, dass die Daten, welche oftmals für Standardindikatoren (z. B. Tiefes-Einkommen Hohe-Kosten) genutz werden,","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
247,170,"Die Analyse kombiniert Daten aus einem grossen zufallsgenerierten Programm, das ","Diese Analyse kombiniert Daten aus einer grossen randomisierten Studie von Opower in Italien mit Umfragedaten von Kundinnen und Kunden eines Energieversorgers.",""
248,249,"Genauer gesagt, ist relativ wenig über die Quelle der Heterogenität im Resultat eines sehr bekannten Experiments des sozialen Vergleichs, wie zum Beispiel desjenigen vom Opower Programm durch den Home El","Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.",""
249,320,"Dieser Artikel präsentiert die ersten Resultate dieser zwei Aufgaben.","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
250,51,"Ein stärkerer Eindruck der Norm in Richtung","Eine stärkere Wahrnehmung der Norm, Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.",""
251,222,"Während das Sparverhalten von Leuten mit hohen biosphärischen Werten in der Literatur gut erfasst worden ist, ist wenig über die Reaktion dieser Konsumenten auf sozialen Vergleich bekannt.","Während das Umweltschutzverhalten von Menschen mit ausgeprägten biosphärischen Werten in der Literatur gut dokumentiert ist, weiss man relativ wenig darüber, wie Konsumentinnen und Konsumenten auf Peer-Vergleiche reagieren.",""
252,137,"Zuerst testen wir, ob der HER die individuelle Wahrnehmung der Norm auf dem Gebiet des Energiesparens beeinflusst.","Zuerst wird getestet, ob der HER beeinflusst, wie Einzelpersonen Normen im Bereich des Energiesparens wahrnehmen.",""
253,92,"Die verfügbaren Energiedaten ","Die Daten des Energieversorgers spezifizieren, ob eine Person einen HER mit sozialen Informationen erhält, die Häufigkeit und Art der sozialen Informationen, den Umgang der Kundinnen und Kunden damit und ihren Energieverbrauch.",""
254,185,"Zuerst testen wir ob der HER die Empfindung der Individuen von Normen in dem Raum der Energiesparens beeinflusst.","Zuerst wird getestet, ob der HER beeinflusst, wie Einzelpersonen Normen im Bereich des Energiesparens wahrnehmen.",""
255,513,"Einer der Punkte, der vom EC unterstrichen wird, ist, dass durch Erfahrung und von den besten Ansätzen diverser Mitgliedstaaten gelernt werden müsse.","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
256,484,"Der erste Teil des Berichts fasst die Resultate einer statistischen Analyse zusammen, welches in Stande gesetzt wurde, um die ""energie-armen"" oder ""energie-empfindlichen"" Konsumenten zu definieren, da keine allgemeine europäische Definition existiert.","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
257,286,"Damit zielt das Projekt (","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.",""
258,454,"Energiearmut ist eines der grössten sozialen, technischen und legislativen Problemen der heutigen Zeit in Europa, mit einer schätzungsweisen Zahl an betroffenen Menschen die sich zwischen  und  Millionen bewegt.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
259,427,"Energiearmut ist gegenwärtig eines der grössten sozialen, technischen und legislativen Problemen Europas mit  50 bis 125 Millionen betroffenen.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
260,474,"Im Projekt ist das Energy Consumption Research Institute für die technische Ausbildung der HEAs und die Planung der Pilotaktionen zuständig.","Diese HEAs werden eigens dazu ausgebildet, die Pilotmassnahmen umzusetzen und somit gefährdeten Haushalten zu zeigen, wie sie vorwiegend durch Verhaltensänderungen ihren Energieverbrauch optimieren und unter Umständen reduzieren können.",""
261,99,"Eine andere entscheidende Kluft in der Forschung ist das Verständnis der Mechanismen hinter den Reaktionen von Einzelpersonen auf Opowers Her in Bezug auf Energieverbrauch.","Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. ",""
262,363,"EC betont insbesondere, dass es wichtig sei, von den Erfahrungen und ""best practices"" der verschiedenen Members states (MS) zu lernen.","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
263,260,"Eine stärkere Wahrnehmung der Energiesparnormen dürfte dann den Energieverbrauch beeinflussen.","Eine stärkere Wahrnehmung der Norm, Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.",""
264,62,"Trotz des wachsenden Interesses an Forschung zu sozialen Vergleichen sind noch einige Fragen offen.","Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.",""
265,440,"Die grösste Hürde im Durchführen dieser Analyse ist, dass die Daten, welche für Standardindikatoren (wie tiefes Einkommen und hohe Kosten) gebraucht werden, nicht erhältlich sind für einige Länder, weswegen neue Wege für das Verstehen, was ein ""energieverletzlicher Konsument"" ist, erkundet werden müssen. ","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
266,456,"Eine der Punkte, welchen die EC hervorbringt, ist, von Erfahrungen zu lernen und von den besten Praktiken, die in den verschiedenen Mitgliedsstaaten praktiziert werden.","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
267,159,"Vor allem ist wenig bekannt über die Quellen der Hetegorenität bei den Auswirkungen eines gut bekannte Experiments zu sozialen Vergleichen wie demjenigen des Opower-Programms imrahmen des Home Electricity ","Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.",""
